,time,A_bid,A_ask,B_bid,B_ask
182,1611448484.378607,87.2,87.80000000000001,87.30000000000001,87.7
183,1611448484.428792,87.2,87.80000000000001,87.30000000000001,87.7
184,1611448484.4789698,87.2,87.80000000000001,87.30000000000001,87.7
185,1611448484.5291543,87.2,87.80000000000001,87.30000000000001,87.7
186,1611448484.5793228,87.2,87.80000000000001,87.30000000000001,87.7
187,1611448484.6295123,87.2,87.80000000000001,87.30000000000001,87.7
188,1611448484.6796687,87.2,87.80000000000001,87.30000000000001,87.7
189,1611448484.729845,87.2,87.80000000000001,87.30000000000001,87.7
190,1611448484.7800074,87.2,87.80000000000001,87.30000000000001,87.7
191,1611448484.830174,87.2,87.80000000000001,87.30000000000001,87.7
192,1611448484.88035,87.2,87.80000000000001,87.30000000000001,87.7
193,1611448484.9305303,87.2,87.80000000000001,87.30000000000001,87.7
194,1611448484.980698,87.2,87.80000000000001,87.30000000000001,87.7
195,1611448485.0308821,87.2,87.80000000000001,87.30000000000001,87.7
196,1611448485.081074,87.2,87.80000000000001,87.30000000000001,87.7
197,1611448485.1312606,87.2,87.80000000000001,87.30000000000001,87.7
198,1611448485.377605,87.2,87.80000000000001,87.30000000000001,87.7
199,1611448485.4299474,87.2,87.80000000000001,87.30000000000001,87.7
200,1611448485.480174,87.2,87.80000000000001,87.30000000000001,87.7
201,1611448485.530402,87.2,87.80000000000001,87.30000000000001,87.7
202,1611448485.5805933,87.2,87.80000000000001,87.30000000000001,87.7
203,1611448485.6307833,87.2,87.80000000000001,87.30000000000001,87.7
204,1611448485.6810727,87.2,87.80000000000001,87.30000000000001,87.7
205,1611448485.7313066,87.2,87.80000000000001,87.30000000000001,87.7
206,1611448485.7815382,87.2,87.80000000000001,87.30000000000001,87.7
207,1611448485.8317688,87.2,87.80000000000001,87.30000000000001,87.7
208,1611448485.8821154,87.2,87.80000000000001,87.30000000000001,87.7
209,1611448485.9323063,87.2,87.80000000000001,87.30000000000001,87.7
210,1611448485.982533,87.2,87.80000000000001,87.30000000000001,87.7
211,1611448486.0327685,87.2,87.80000000000001,87.30000000000001,87.7
212,1611448486.0829186,87.2,87.80000000000001,87.30000000000001,87.7
213,1611448486.1331062,87.2,87.80000000000001,87.30000000000001,87.7
214,1611448486.183268,87.2,87.80000000000001,87.30000000000001,87.7
215,1611448486.2334502,87.2,87.80000000000001,87.30000000000001,87.7
216,1611448486.2836437,87.2,87.80000000000001,87.30000000000001,87.7
217,1611448486.3337564,87.2,87.80000000000001,87.30000000000001,87.7
218,1611448486.383923,87.2,87.80000000000001,87.30000000000001,87.7
219,1611448486.434099,87.2,87.80000000000001,87.30000000000001,87.7
220,1611448486.4843037,87.2,87.80000000000001,87.30000000000001,87.7
221,1611448486.5346568,87.2,87.80000000000001,87.30000000000001,87.7
222,1611448486.5848267,87.2,87.80000000000001,87.30000000000001,87.7
223,1611448486.6350052,87.2,87.80000000000001,87.30000000000001,87.7
224,1611448486.7943769,87.30000000000001,87.9,87.30000000000001,87.7
225,1611448486.84453,87.30000000000001,87.9,87.30000000000001,87.7
226,1611448486.8946729,87.30000000000001,87.9,87.30000000000001,87.7
227,1611448486.944844,87.30000000000001,87.9,87.30000000000001,87.7
228,1611448486.9950144,87.30000000000001,87.9,87.30000000000001,87.7
229,1611448487.045519,87.30000000000001,87.9,87.30000000000001,87.7
230,1611448487.0957224,87.30000000000001,87.9,87.30000000000001,87.7
231,1611448487.1458836,87.30000000000001,87.9,87.30000000000001,87.7
232,1611448487.196123,87.30000000000001,87.9,87.30000000000001,87.7
233,1611448487.246387,87.30000000000001,87.9,87.30000000000001,87.7
234,1611448487.2966456,87.30000000000001,87.9,87.30000000000001,87.7
235,1611448487.3468251,87.30000000000001,87.9,87.30000000000001,87.7
236,1611448487.3970063,87.30000000000001,87.9,87.30000000000001,87.7
237,1611448487.4471982,87.30000000000001,87.9,87.30000000000001,87.7
238,1611448487.4973834,87.30000000000001,87.9,87.30000000000001,87.7
239,1611448487.547534,87.30000000000001,87.9,87.30000000000001,87.7
240,1611448487.597688,87.30000000000001,87.9,87.30000000000001,87.7
241,1611448487.647859,87.30000000000001,87.9,87.30000000000001,87.7
242,1611448487.6980352,87.30000000000001,87.9,87.30000000000001,87.7
243,1611448487.748214,87.30000000000001,87.9,87.30000000000001,87.7
244,1611448487.7984073,87.30000000000001,87.9,87.30000000000001,87.7
245,1611448487.8486636,87.30000000000001,87.9,87.30000000000001,87.7
246,1611448487.8988416,87.30000000000001,87.9,87.30000000000001,87.7
247,1611448487.9491246,87.30000000000001,87.9,87.30000000000001,87.7
248,1611448487.999296,87.30000000000001,87.9,87.30000000000001,87.7
249,1611448488.0494769,87.30000000000001,87.9,87.30000000000001,87.7
250,1611448488.0996304,87.30000000000001,87.9,87.30000000000001,87.7
251,1611448488.1497974,87.30000000000001,87.9,87.30000000000001,87.7
252,1611448488.2100294,87.10000000000001,87.7,87.30000000000001,87.7
253,1611448488.260206,87.10000000000001,87.7,87.30000000000001,87.7
254,1611448488.3103907,87.10000000000001,87.7,87.30000000000001,87.7
255,1611448488.3605623,87.10000000000001,87.7,87.30000000000001,87.7
256,1611448488.4107273,87.10000000000001,87.7,87.30000000000001,87.7
257,1611448488.4609115,87.10000000000001,87.7,87.30000000000001,87.7
258,1611448488.5110686,87.10000000000001,87.7,87.30000000000001,87.7
259,1611448488.5613098,87.10000000000001,87.7,87.30000000000001,87.7
260,1611448488.6114798,87.10000000000001,87.7,87.30000000000001,87.7
261,1611448488.6616578,87.10000000000001,87.7,87.30000000000001,87.7
262,1611448488.7118385,87.10000000000001,87.7,87.30000000000001,87.7
263,1611448488.7620196,87.10000000000001,87.7,87.30000000000001,87.7
264,1611448488.8121493,87.10000000000001,87.7,87.30000000000001,87.7
